Latin Paragraph	English Paragraph (Manual)
2. Quiesce a nimio discendi desiderio, quia ibi magna incitatur distractio et deceptio. Scientes volunt libenter docti videri et sapientes dici. Multa sunt quæ scire animæ parum vel nihil prodest. Et valde insipiens est, qui aliquibus magis intendit, quam his quæ saluti suæ deserviunt.  Multa verba non satiant animam, sed bona vita refrigerat mentem, et pura conscientia magnam ad Deum præstat confidentiam.	2. Rest from inordinate desire of knowledge, for therein is found much distraction and deceit. Those who have knowledge desire to appear learned, and to be called wise. Many things there are to know which profiteth little or nothing to the soul. And foolish out of measure is he who attendeth upon other things rather than those which serve to his soul’s health. Many words satisfy not the soul, but a good life refresheth the mind, and a pure conscience giveth great confidence towards God.
3. Quanto plus et melius scis, tanto gravius judicaberis inde nisi sancte vixeris. Noli ergo extolli de ulla arte vel scientia, sed potius time de data tibi notitia. Si tibi videtur quod multa scias et satis bene intelligas, scito tamen quia sunt multo plura quæ nesci.Noli sapere altum,sed ignorantiam tuam magis fatere. Quid te vis alicui præferre, cum plures doctiores te inveniantur, et magis in lege periti.  Si vis aliquid utiliter scire, et discere, ama nesciri, et pro nihilo reputari.	3. The greater and more complete thy knowledge, the more severely shalt thou be judged, unless thou hast lived holily. Therefore be not lifted up by any skill or knowledge that thou hast; but rather fear concerning the knowledge which is given to thee. If it seemeth to thee that thou knowest many things, and understandest them well, know also that there are many more things which thou knowest not. Be not high-minded, but rather confess thine ignorance. Why desirest thou to lift thyself above another, when there are found many more learned and more skilled in the Scripture than thou? If thou wilt know and learn anything with profit, love to be thyself unknown and to be counted for nothing.
4. Hæc est altissima et utilissima lectio, sui ipius vera cognitio, et despectio. De se ipso nihil tenere, et de aliis semper bene et alte sentire magna sapientia est, et perfectio. Si videres aliquem aperte peccare, vel aliqua gravia perpetrare, non deberes te meliorem exstimare, quia nescis quamdiu possis in bono stare.  Omnes fragiles sumus, sed tu neminem fragiliorem te ipso tenebis.	4. That is the highest and most profitable lesson, when a man truly knoweth and judgeth lowly of himself. To account nothing of one’s self, and to think always kindly and highly of others, this is great and perfect wisdom. Even shouldest thou see thy neighbor sin openly or grievously, yet thou oughtest not to reckon thyself better than he, for thou knowest not how long thou shalt keep thine integrity. All of us are weak and frail; hold thou no man more frail than thyself.
Cap. 3. De doctrina veritatis.	CHAPTER III Of the knowledge of truth
1. Felix quem Veritas per se ipsam docet, non per figuras et voces transeuntes, sed sicuti se habet. Nostra opinion, et noster sensus sæpe nos fallit, et modicum videt. Quid prodest magna cavillatio de occultis, et obscuris rebus de quibus nec argueur in judicio, quia ignoravimus?  Grandis insipientia quod neglectis utilibus, et necessariis, ultro intendimus curiosis, et damnosis.  Oculos habentes, non videmus.	Happy is the man whom Truth by itself doth teach, not by figures and transient words, but as it is in itself. Our own judgment and feelings often deceive us, and we discern but little of the truth. What doth it profit to argue about hidden and dark things, concerning which we shall not be even reproved in the judgment, because we knew them not? Oh, grievous folly, to neglect the things which are profitable and necessary, and to give our minds to things which are curious and hurtful! Having eyes, we see not.
2. Et quid nobis de generibus et speciebus, cui æternum Verbum loquitur a multis opinionibus expeditur. Ex uno Verbo omnia, et unum loquuntur omnia et hoc estPrincipium quod et loquitur nobis.Nemo sine illo intelligit, aut recte judicat. Cuit omnia unam sunt, et qui omnia ad unum trahit, et omnia in uno videt, potest stabilis esse, et in Deo pacificus permanere. O veritas Deus, fac me unum tecum in charitate perpetua. Tædet mihi sæpe multa legere, t audire: in te toum est, quod volo et desidero. Taceant omnes doctores, sileant universæ creaturæ in conspectu tuo, tu mihi loquere solus.	2. And what have we to do with talk about genus and species! He to whom the Eternal Word speaketh is free from multiplied questionings. From this One Word are all things, and all things speak of Him; and this is the Beginning which also speaketh unto us. No man without Him understandeth or rightly judgeth. The man to whom all things are one, who bringeth all things to one, who seeth all things in one, he is able to remain steadfast of spirit, and at rest in God. O God, who art the Truth, make me one with Thee in everlasting love. It wearieth me oftentimes to read and listen to many things; in Thee is all that I wish for and desire. Let all the doctors hold their peace; let all creation keep silence before Thee: speak Thou alone to me.
3. Quanto magis aliquis unitus, et interius implicatus fuerit, tanto plura et altiora sine labore intelligit quia desuper lumen intelligentiæ accipit. Purus simplex et stabilis in multis operibus non dissipatur, quia omnia ad Dei honorem operatur, et in se otiose ab omni propria exquisitione esse nititur. Quis te magis impedit, et molestat quam tua immortificata cordis affectio? Bonus et devotus homo, opera sua intus prius disponit, quæ foris agere debet, nec illa trahunt ad desideria vitiosæ inclinationis, sed ipse inflectat ea ad arbitrium rectæ intentionis rationis. Quis habet fortius certamen, quam qui nititur vincere se ipsum? Et hoc deberet esse negotium nostrum, vincere scilicet se ipsum, et quotidie se fortiorem ipso fieri, atque in melius proficere.	3. The more a man hath unity and simplicity in himself, the more things and the deeper things he understandeth; and that without labour, because he receiveth the light of understanding from above. The spirit which is pure, sincere, and steadfast, is not distracted though it hath many works to do, because it doth all things to the honour of God, and striveth to be free from all thoughts of self-seeking. Who is so full of hindrance and annoyance to thee as thine own undisciplined heart? A man who is good and devout arrangeth beforehand within his own heart the works which he hath to do abroad; and so is not drawn away by the desires of his evil will, but subjecteth everything to the judgment of right reason. Who hath a harder battle to fight than he who striveth for self-mastery? And this should be our endeavour, even to master self, and thus daily to grow stronger than self, and go on unto perfection.
4. Omnis perfectio in hac vita quamdam imperfectionem sibi habet annexam. Et omnis speculatio nostra quadam caligine non caret. Humilis tui cognitio certior via est ad Deum, quam profundæ scientiæ inquisitio. Non est culpanda scientia, aut quælibet rei notitia quæ bona est, in se confiderata, eet a Deo ordinata, sed præferenda est, semper bona conscientia, et vita, quia student magis plures scire quam bene vivere, ideo sæpe errant, et nullum vel modicum fructum ferunt.	4. All perfection hath some imperfection joined to it in this life, and all our power of sight is not without some darkness. A lowly knowledge of thyself is a surer way to God than the deep searching of man’s learning. Not that learning is to be blamed, nor the taking account of anything that is good; but a good conscience and a holy life is better than all. And because many seek knowledge rather than good living, therefore they go astray, and bear little or no fruit.
5. O, si tantam adhiberent diligentiam ad extirpanda vitia, et virtutes inferendas, sicuti movendi quæstiones, non fierent tanta mala et scandala in populo nec tanta dissolutio in cænobiis. Certe adveniente e judicii, non quæretur a nobis quid legimus, sed quid fecimus; nec quam bene diximus, sed quam religiose visimus. Dic mihi, ubi sunt modo illi omnes Domini, et Magistri quos bene nosti dum adhuc bene viverent, et in studiis florerent? Jam eorum præbendas alii possident, et nescio utrum de eis recogitent. In vita sua aliquid videbantur et modo de illis tacetur.	5. O if they would give that diligence to the rooting out of vice and the planting of virtue which they give unto vain questionings: there had not been so many evil doings and stumbling-blocks among the laity, nor such ill living among houses of religion. Of a surety, at the Day of Judgment it will be demanded of us, not what we have read, but what we have done; not how well we have spoken, but how holily we have lived. Tell me, where now are all those masters and teachers, whom thou knewest well, whilst they were yet with you, and flourished in learning? Their stalls are now filled by others, who perhaps never have one thought concerning them. Whilst they lived they seemed to be somewhat, but now no one speaks of them.
6. O quam cito transit gloria mundi. Utinam vita eorum scientiæ concordasset eorum, tunc bene legissent et studuissent. Quam multi pereunt per vanam scientiam in hoc sæculo, qui parum curant de Dei fervitio. Et quia magis diligunt magni esse quam humiles, ideo evanuerunt in cognitationibus suis. Vere magnus est qui in si parvus est et pro nihilo omne culmen honoris ducit. Vere prudens est qui omnia terrenaarbitratur uti stercora ut Christum lucrifaciat.Et vere bene doctus est qui Dei voluntatem facit et suam voluntatem relinquit.	6. Oh how quickly passeth the glory of the world away! Would that their life and knowledge had agreed together! For then would they have read and inquired unto good purpose. How many perish through empty learning in this world, who care little for serving God. And because they love to be great more than to be humble, therefore they “have become vain in their imaginations.” He only is truly great, who hath great charity. He is truly great who deemeth himself small, and counteth all height of honour as nothing. He is the truly wise man, who counteth all earthly things as dung that he may win Christ. And he is the truly learned man, who doeth the will of God, and forsaketh his own will.
Cap. 4. De prudentia in agendis.	CHAPTER IV Of prudence in action 
1. Non est credendum omni verbo nec instinctui sed caute et longanimiter, res est fecundum Deum ponderanda. Proh dolor sæpe malum facilius quam bonum de alio creditur et dicitur ita infirmi sumus. Sed perfecti viri non facile credunt omni enarrant, quia sciunt humanam fragilitatem imo infirmitatem ad malum proclivem et in verbis fatis labilem.	1. We must not trust every word of others or feeling within ourselves, but cautiously and patiently try the matter, whether it be of God. Unhappily we are so weak that we find it easier to believe and speak evil of others, rather than good. But they that are perfect, do not give ready heed to every news-bearer, for they know man’s weakness that it is prone to evil and unstable in words.
2. Magna sapientia est non esse præcipitem in agendis, nec pertinaciter in sensibus stare. Ad hanc etiam non pertinet quibuslibet hominum verbis credere nec audita vel credita mox ad aliorum aures effundere.	2. This is great wisdom, not to be hasty in action, or stubborn in our own opinions. A part of this wisdom also is not to believe every word we hear, nor to tell others all that we hear, even though we believe it. 
3. Cum sapiente et sententioso viro consilium habe, et quære potius a melioribus instrui, quam tuas adinventiones sequi. Bona vita facit hominem sapientem secundum Deum, et expertum in multis. Quanto quis in se humilior fuerit, et Deo subjectior, tanto in omnibus erit sapientior et pacatior.	3. Take counsel with a man who is wise and of a good conscience; and seek to be instructed by one better than thyself, rather than to follow thine own inventions. A good life maketh a man wise toward God, and giveth him experience in many things. The more humble a man is in himself, and the more obedient towards God, the wiser will he be in all things, and the more shall his soul be at peace. 
Cap. 5. De lectione scripturarum.	CHAPTER V Of the reading of Holy Scriptures
1. Veritas est in Scripturis sanctis quærenda, non eloquenda. Omnis Scriptura sacra eo spiritu debet legi, quo facta est. Quærere debemus potius utilitatem in Scripturis, quam subtilitatem sermonis. Ita libenter devotos et simplices libros legere debemus, sicut altos et profundos. Non te defendat auctoritas Scribentis utrum parvæ vel magnæ litteraturæ fuerit, sed amor puræ veritatis te trahat ad legendum. Non quæras quis hoc dixerit, sed quid dicatur attende.	1. It is Truth which we must look for in Holy Writ, not cunning of words. All Scripture ought to be read in the spirit in which it was written. We must rather seek for what is profitable in Scripture, than for what ministereth to subtlety in discourse. Therefore we ought to read books which are devotional and simple, as well as those which are deep and difficult. And let not the weight of the writer be a stumbling-block to thee, whether he be of little or much learning, but let the love of the pure Truth draw thee to read. Ask not, who hath said this or that, but look to what he says.
2. Homines transeunt, sedveritas Domini manet in æternum.Sine personarum acceptione variis modis nobis loquitur Deus. Curiositas nostra sæpe nos impedit in lectione Scripturarum, cum volumus intelligere et discutere ubi simpliciter est transeundum. Si vis profectum haurire lege humiliter, simpliciter, et fideliter nec unquam velis habere nomen scientiæ. Interroga libenter, et audi tacens Sanctorum verba, nec displiceant tibi parabolæ Seniorum sine cause enim non proferuntur.	2. Men pass away, but the truth of the Lord endureth for ever. Without respect of persons God speaketh to us in divers manners. Our own curiosity often hindereth us in the reading of holy writings, when we seek to understand and discuss, where we should pass simply on. If thou wouldst profit by thy reading, read humbly, simply, honestly, and not desiring to win a character for learning. Ask freely, and hear in silence the words of holy men; nor be displeased at the hard sayings of older men than thou, for they are not uttered without cause.
Cap. 6. De inordinatis affectibus.	CHAPTER VI Of inordinate affections
1. Quandocumque homo inordinate aliquid appetit statim in se inquietus sit. Superbus et avarus nunquam quiescunt. Pauper et humilis spiritu in multitudine pacis conversatur. Homo qui necdum in se perfecte mortuus est, cito tentatur et vincitur in parvis et vilibus rebus. Infirmus in spiritu, et quodammodo adhuc carnalis ad sensibilia inclinatus, difficulter potest se a terrenis desideriis ex toto extrahere. Et ideo sæpe habet tristitiam cum se subtrahit. Leviter etiam dedignatur, si quis ei resistit.	1. Whensoever a man desireth aught above measure, immediately he becometh restless. The proud and the avaricious man are never at rest; while the poor and lowly of heart abide in the multitude of peace. The man who is not yet wholly dead to self, is soon tempted, and is overcome in small and trifling matters. It is hard for him who is weak in spirit, and still in part carnal and inclined to the pleasures of sense, to withdraw himself altogether from earthly desires. And therefore, when he withdraweth himself from these, he is often sad, and easily angered too if any oppose his will.
2. Si autem profecutus fuerit quod concupiscitur, statim ex reatu conscientiæ gravatur, quia secutus est passionem suam, quæ nihil juvat ad pacem, quam quæsivit. Resistendo igitur passionibus invenitur vera pax cordis non autem serviendo eis. Non est ergo pax in corde hominis carnalis, non in homine in exterioribus dedito, sed in fervido spirituali.	2. But if, on the other hand, he yield to his inclination, immediately he is weighed down by the condemnation of his conscience; for that he hath followed his own desire, and yet in no way attained the peace which he hoped for. For true peace of heart is to be found in resisting passion, not in yielding to it. And therefore there is no peace in the heart of a man who is carnal, nor in him who is given up to the things that are without him, but only in him who is fervent towards God and living the life of the Spirit.
Cap. 7. De vana spe et elatione fugienda.	CHAPTER VII Of fleeing from vain hope and pride
1. Vanus est qui spem suam ponit in hominibus aut in creaturis. Non pudeat te aliis servire amore Domini nostri Jesu Christi, et pauperem in hoc sæculo videri. Non stes super teipsum, sed in Deo spem tuam constitue. Fac quod in te est, et Deus aderit bonæ voluntati tuæ. Non confidas in tua scientia, vel cujuscumque astutia viventi, sed magis in Dei gratia, qui humiles adjuvat, et de se præsumentes humiliat.	1. Vain is the life of that man who putteth his trust in men or in any created Thing. Be not ashamed to be the servant of others for the love of Jesus Christ, and to be reckoned poor in this life. Rest not upon thyself, but build thy hope in God. Do what lieth in thy power, and God will help thy good intent. Trust not in thy learning, nor in the cleverness of any that lives, but rather trust in the favour of God, who resisteth the proud and giveth grace to the humble.
2. Non glorieris in divitiis si adsint, nec in amicis quia potentes sunt, sed in Deo qui omnia præstat, et se ipsum super omnia dare desiderat. Non te extollas de magnitudine vel pulchritudine corporis, quæ modica etiam infirmitate corrumpitur et foedatur. Non placeas tibi ipsi, de humilitate aut ingenio ne displiceas Deo, cujus est totum quidquid boni naturaliter habemus.	2. Boast not thyself in thy riches if thou hast them, nor in thy friends if they be powerful, but in God, who giveth all things, and in addition to all things desireth to give even Himself. Be not lifted up because of thy strength or beauty of body, for with only a slight sickness it will fail and wither away. Be not vain of thy skilfulness or ability, lest thou displease God, from whom cometh every good gift which we have.
3. Non te reputes aliis meliorem, ne forte coram Deo deterior habearis qui scit quid est in homine. Non superbias de operibus bonis, quia aliter sunt judicia Dei quam hominum, cui sæpe displicet, quod hominibus placet. Si aliquid boni habueris, crede de aliis meliora, ut humilitatem conserves. Non nocet ut te hominibus supponas, nocet autem plurimum, si vel uni te præponas. Jugis pax cum humili, in corde autem superbi zelus et indignatio frequens.	3. Count not thyself better than others, lest perchance thou appear worse in the sight of God, who knoweth what is in man. Be not proud of thy good works, for God’s judgments are of another sort than the judgments of man, and what pleaseth man is ofttimes displeasing to Him. If thou hast any good, believe that others have more, and so thou mayest preserve thy humility. It is no harm to thee if thou place thyself below all others; but it is great harm if thou place thyself above even one. Peace is ever with the humble man, but in the heart of the proud there is envy and continual wrath.
Cap. 8. De cavenda nimia familiaritate.	CHAPTER VIII Of the danger of too much familiarity
1. Nonomni homini reveles cor tuum,sed cum sapiente, et timente Deum age causam tuam? Cum juvenibus et extraneis rarus esto, cum divitibus noli blandiri, et coram magnatis non libenter appareas. Cum humilibus et simplicibus, cum devotis et morigeratis sociare, et quæ ædificationis sunt pertracta. Non sis familiaris alicui mulieri, sed in communi omnes bonas mulieres Deo commenda. Soli Deo et Angelis ejus opta familiaris esse, et hominum notitiam devita.	1. Open not thine heart to every man, but deal with one who is wise and feareth God. Be seldom with the young and with strangers. Be not a flatterer of the rich; nor willingly seek the society of the great. Let thy company be the humble and the simple, the devout and the gentle, and let thy discourse be concerning things which edify. Be not familiar with any woman, but commend all good women alike unto God. Choose for thy companions God and His Angels only, and flee from the notice of men.
2. Charitas est habenda ad omnes, sed familiaritas non expedit. Quandoque accidit ut persona ignota ex bona fama lucescit, tum præsentia oculos intuentium offuscat.  Putamus aliis placere ex convictione nostra, et incipimus magis displicere morum improbitate in nobis considerata.	2. We must love all men, but not make close companions of all. It sometimes falleth out that one who is unknown to us is highly regarded through good report of him, whose actual person is nevertheless unpleasing to those who behold it. We sometimes think to please others by our intimacy, and forthwith displease them the more by the faultiness of character which they perceive in us.
Cap. 9. De obedientia et subjectione.	CHAPTER IX Of Obedience and Subjection
1. Valde magnum est in obedientia stare, sub Prælato se vivere, et sui juris non esse. Multo tutius est stare in subjectione, quam in prælatura. Multi sunt sub obedientia magis ex necessitate, quam ex charitate, et illi poenam habent, et leviter murmurant, nec libertatem mentis acquirent, nisi ex toto corde propter Deum se subjiciant. Curre hic vel ibi non invenies requiem, nisi in humili subjectione sub Prælati regimine. Imaginatio locorum, et mutatio multos fefellit.	1. It is verily a great thing to live in obedience, to be under authority, and not to be at our own disposal. Far safer is it to live in subjection than in a place of authority. Many are in obedience from necessity rather than from love; these take it amiss, and repine for small cause. Nor will they gain freedom of spirit, unless with all their heart they submit themselves for the love of God. Though thou run hither and thither, thou wilt not find peace, save in humble subjection to the authority of him who is set over thee. Fancies about places and change of them have deceived many. 
2. Verum est quod unusquisque libenter agit pro sensu suo et inclinatur ad eos magis qui secum sentiunt. Sed si Christus est inter nos, tunc necesse est, ut relinquamus etiam nostrum sentire propter bonum pacis. Quis est ita sapiens, qui omnia plene scire possit? Ergo noli nimis in sensu tuo confidere, sed velis etiam aliorum sensum audire. Si bonum est tuum sentire, et hoc ipsum propter Deum dimittis, et alium sequeris, magis inde proficies.	2. True it is that every man willingly followeth his own bent, and is the more inclined to those who agree with him. But if Christ is amongst us, then it is necessary that we sometimes yield up our own opinion for the sake of peace. Who is so wise as to have perfect knowledge of all things? Therefore trust not too much to thine own opinion, but be ready also to hear the opinions of others. Though thine own opinion be good, yet if for the love of God thou foregoest it, and followest that of another, thou shalt the more profit thereby. 
3. Audivi enim sæpe, securius esse audire, et accipere consilium quam dare. Potest enim contingere ut bonum fit uniuscujusque sentire, sed nolle aliis acquiescere, cum id ratio aut causa postulat, signum est superbiæ aut pertinaciæ.	3. Ofttimes I have heard that it is safer to hearken and to receive counsel than to give it. It may also come to pass that each opinion may be good; but to refuse to hearken to others when reason or occasion requireth it, is a mark of pride or wilfulness.
Cap. 10. De superfluitate verborum.	CHAPTER X Of the danger of superfluity of words
1. Caveas tumultum hominum, quantum potes. Multum nam impedit tractatus fæcularium gestorum, etiamsi simplici intentione proferantur. Cito enim inquinamur vanitate et captivamur. Vellem me pluries tacuisse, et inter homines non fuisse. Sed quare tam frequenter loquimur, et invicem fabulamur, cum tamen sine læsione conscientiæ raro ad silentium redimus? Ideo tam frequenter loquimur, quia per multas locutiones ad invicem consolari quærimus, et cor diversis cogitationibus fatigatum optamus relevare, et multum libenter, de his quæ diligimus, seu cupimus, vel quæ nobis sentimus contraria, libet loqui et cogitare.	1. Avoid as far as thou canst the tumult of men; for talk concerning worldly things, though it be innocently undertaken, is a hindrance, so quickly are we led captive and defiled by vanity. Many a time I wish that I had held my peace, and had not gone amongst men. But why do we talk and gossip so continually, seeing that we so rarely resume our silence without some hurt done to our conscience? We like talking so much because we hope by our conversations to gain some mutual comfort, and because we seek to refresh our wearied spirits by variety of thoughts. And we very willingly talk and think of those things which we love or desire, or else of those which we most dislike.
2. Sed proh dolor sæpe inaniter, et frustra. Nam hæc exterior consolatio interioris et divinæ consolationis non modicum detrimentum est. Ideo vigilandum est et orandum ne tempus otiose transeat. Si  loqui licet et expedit, quæ ædificabilia sunt loquere. Malus usus et negligentia profectus nostri multum facit ad incustodiam oris nostri. Juvat tamen non parum ad profectum spiritualem devota spiritualium rerum collatio, maxime ubi pares animo et spiritu in Deo sibi sociantur.	2. But alas! it is often to no purpose and in vain. For this outward consolation is no small hindrance to the inner comfort which cometh from God. Therefore must we watch and pray that time pass not idly away. If it be right and desirable for thee to speak, speak things which are to edification. Evil custom and neglect of our real profit tend much to make us heedless of watching over our lips. Nevertheless, devout conversation on spiritual things helpeth not a little to spiritual progress, most of all where those of kindred mind and spirit find their ground of fellowship in God. 
Cap. 11. De pace quærenda, et zelo proficiendi.	CHAPTER XI Of seeking peace of mind and of spiritual progress
1. Multam possumus pacem habere, si volumus nos cum aliorum dictis et factis quæ ad nostram curam non spectant non occupare. Quomodo potest ille in pace die permanere, qui alienis curis se intermiscet, qui occasiones forinsecus quærit, qui parum vel raro se intrinsecur colligit?  Beati simplices, quoniam multam pacem habebunt.	1. We may enjoy abundance of peace if we refrain from busying ourselves with the sayings and doings of others, and things which concern not ourselves. How can he abide long time in peace who occupieth himself with other men’s matters, and with things without himself, and meanwhile payeth little or rare heed to the self within? Blessed are the single-hearted, for they shall have abundance of peace.
2. Quare quidam Sanctorum tam perfecti et contemplativi fuerunt? quia mortificari omnino ab omnibus terrenis desideriis studuerunt, et ideo totis medullis cordis Deo inhærere, atque sibi libere vacare potuerunt. Nos nimium propriis occupamur passionibus, et de transitoriis nimis sollicitamur. Raro nam vitium unum perfecte vincimus, et ad quotidianum profectum non attendimus, ideo frigidi et tepidi remanemus.	2. How came it to pass that many of the Saints were so perfect, so contemplative of Divine things? Because they steadfastly sought to mortify themselves from all worldly desires, and so were enabled to cling with their whole heart to God, and be free and at leisure for the thought of Him. We are too much occupied with our own affections, and too anxious about transitory things. Seldom, too, do we entirely conquer even a single fault, nor are we zealous for daily growth in grace. And so we remain lukewarm and unspiritual.
3. Si essemus nobismetipsis perfecte intenti, et exterius minime implicati, tunc possemus etiam divina sapere, et de cælesti contemplatione aliquid experiri. Totum et maximum impedimentum est, quia non sumus a passionibus, et concupiscentiis liberi, nec perfectam viam Sanctorum conamur ingredi. Quando etiam modicum adversitatis occurit, nimis cito dijicimur, et ad humanas consolationes convertimur.	3. Were we fully watchful of ourselves, and not bound in spirit to outward things, then might we be wise unto salvation, and make progress in Divine contemplation. Our great and grievous stumbling-block is that, not being freed from our affections and desires, we strive not to enter into the perfect way of the Saints. And when even a little trouble befalleth us, too quickly are we cast down, and fly to the world to give us comfort.
4. Si niteremur sicut viri fortes stare in proelio, profecto auxilium Dominii super nos videremus de cælo. Ipse nam certantes, et de sua gratia sperantes paratus est adjuvare, qui nobis certandi occasiones procurat, ut vincamus. Si tantum in istis exterioribus observantiis profectum religionis ponimus, cito finem habebit devotio nostra. Sed ad radicem securim ponamus, ut purgati a passionibus pacificam mentem possideamus.	4. If we would quit ourselves like men, and strive to stand firm in the battle, then should we see the Lord helping us from Heaven. For He Himself is alway ready to help those who strive and who trust in Him; yea, He provideth for us occasions of striving, to the end that we may win the victory. If we look upon our progress in religion as a progress only in outward observances and forms, our devoutness will soon come to an end. But let us lay the axe to the very root of our life, that, being cleansed from affections, we may possess our souls in peace.
5. Si omni anno unum vitium extirparemus, cito viri perfecti efficeremur. Sed modo contrario sæpe sentimus ut meliores, et puriores in initio conversionis nos fuisse inveniamus quam post multos annos prosessionis. Fervor et profectus noster quotidie deberet crescere, sed nunc pro magno videtur si quis primi fervoris partem possit retinere. Si modicam violentiam faceremus in principio, tunc omnia possemus facere cum levitate et gaudio.	5. If each year should see one fault rooted out from us, we should go quickly on to perfection. But on the contrary, we often feel that we were better and holier in the beginning of our conversion than after many years of profession. Zeal and progress ought to increase day by day; yet now it seemeth a great thing if one is able to retain some portion of his first ardour. If we would put some slight stress on ourselves at the beginning, then afterwards we should be able to do all things with ease and joy.
6. Grave est assueta dimittere, et gravius est contra propriam voluntatem ire. Sed si non vincis parva et levia, quando superabis difficiliora? Resiste in principio inclinatini tuæ, et malum defere consuetudinem, ne forte paulatim ad majorem te ducat difficultatem. O si adverteres quantum tibi pacem et aliis lætitiam faceres, temetipsum bene habendo, puto quod sollicitior esses ad spiritualem profectum.	6. It is a hard thing to break through a habit, and a yet harder thing to go contrary to our own will. Yet if thou overcome not slight and easy obstacles, how shalt thou overcome greater ones? Withstand thy will at the beginning, and unlearn an evil habit, lest it lead thee little by little into worse difficulties. Oh, if thou knewest what peace to thyself thy holy life should bring to thyself, and what joy to others, methinketh thou wouldst be more zealous for spiritual profit.
