Liber Quartus: De Sacramento Altaris.	THE FOURTH BOOK: ON THE SACRAMENT OF THE ALTAR
7. Quare igitur ad tuam non magis inardesco venerabilem præsentiam? Cur majori me non præparo sollicitudine ad tua Sancta sumenda, quandoilli antiqui sancti Patriarchæ, Reges quoque et Principes cum universo populo tantum devotionis monstrarunt affectum erga cultum divinum?	7. Wherefore then do I not yearn more ardently after Thy adorable presence? Why do I not prepare myself with greater solicitude to receive Thy holy things, when those holy Patriarchs and Prophets of old, kings also and princes, with the whole people, manifested so great affection of devotion towards Thy Divine Service?
8. Saltavit rex devotissimus David coram arca Dei totis veribus, recolens beneficia olim indulta Patribus. Fecit diversi generis organa, psalmos edidit, et cantari institui cum lætitia, cecinit et ipse frequenter in cithara, Spiritus sancti afflatus gratia, docuit populum Israel toto corde laudare Deum, et ore consono diebus singulis benedicere et prædicare. Si tanta agebatur tunc devotio, ac divinæ laudis extitit recordatio coram arca testamenti, quanta nunc mihi et omni populo Christiano habenda est devotio et reverentia in præsentia Sacramenti, in sumtione excellentissimi corporis Christi?	8. The most devout king David danced with all his might before the Ark of God, calling to mind the benefits granted to his forefathers in days past; he fashioned musical instruments of various sorts, put forth Psalms, and appointed them to be sung with joy, played also himself ofttimes on the harp, being inspired with the grace of the Holy Ghost; he taught the people of Israel to praise God with the whole heart, and with unity of voice to bless and praise Him every day. If so great devotion was then exercised, and celebration of divine praise was carried on before the Ark of the Testimony, how great reverence and devotion ought now to be shown by me and all Christian people at the ministering of the Sacrament, at receiving the most precious Body and Blood of Christ.
9. Currunt multi ad diversa loca pro visitandis reliquiis Sanctorum, et mirantur auditis gestis eorum; ampla ædificia templorum inspiciunt, et osculantur sericis et auro involuta sacra ossa eorum. Et ecce tu præsens es hic apud me in altari, Deus meus, Sanctus Sanctorum, hominum Creator et Dominus Angelorum. Sæpe in talibus videndis est curiositas hominum, est novitas invisorum et modicus reportabitur fructus emendationis, maxime ubi est tam levis, since vera contritione discursus. Hic autem in Sacramento altaris totus præsens es Deus meus, homo Christus Jesus: ubi et copiosus percipitur æternæ salutis fructus, quotescumque fueris digne ac devote susceptus. Ad istud vero non trahit levitas aliqua, nec curiositas vel sensualitas, sed firma fides, devota spes, et sincera charitas.	9. Many run to diverse places to visit the memorials of departed Saints, and rejoice to hear of their deeds and to look upon the beautiful buildings of their shrines. And behold, Thou art present here with me, O my God, Saint of Saints, Creator of men and Lord of the Angels. Often in looking at those memorials men are moved by curiosity and novelty, and very little fruit of amendment is borne away, especially when there is so much careless trifling and so little true contrition. But here in the Sacrament of the Altar, Thou art present altogether, My God, the Man Christ Jesus; where also abundant fruit of eternal life is given to every one soever that receiveth Thee worthily and devoutly. But to this no levity draweth, no curiosity, nor sensuality, only steadfast faith, devout hope, and sincere charity.
10. O, invisibilis conditor mundi Deus, quam mirabiliter agis nobiscum, quam suaviter et gratiose cum electis tuis disponis, quibus temetipsum in Sacramento sumendum proponis. Hoc namque omnem intellectum superat; hoc specialiter devotorum corda trahit, et accendit affectum. Ipsi enim vere fideles tui, qui totam vitam suam ad emendationem disponunt, ex hoc Sacramento dignissimo magnam devotionis gratiam, et virtutis amorem frequenter recipiunt.	10. O God, invisible Creator of the world, how wondrously dost Thou work with us, how sweetly and graciously Thou dealest with Thine elect, to whom Thou offerest Thyself to be received in this Sacrament! For this surpasseth all understanding, this specially draweth the hearts of the devout and enkindleth their affections. For even thy true faithful ones themselves, who order their whole life to amendment, oftentimes gain from this most excellent Sacrament great grace of devotion and love of virtue.
11. O, admirabilis et abscondita gratia Sacramenti, quam norunt tantum Christi fideles, infideles autem et peccatis servientes experiri non possunt. In hoc Sacramento confertur spiritualis gratia et reparatur in anima virtus amissa et per peccatum deformata redit pulchritudo. Tanta est aliquando hæc gratia, ut ex plenitudine collatæ devotionis non tantum mens, sed et debile corpus vires sibi præstitas sentiat ampliores.	11. Oh admirable and hidden grace of the Sacrament, which only Christ’s faithful ones know, but the faithless and those who serve sin cannot experience! In this Sacrament is conferred spiritual grace, and lost virtue is regained in the soul, and the beauty which was disfigured by sin returneth again. So great sometimes is this grace that out of the fulness of devotion given, not only the mind but also the weak body feeleth that more strength is supplied unto it.
12. Dolendum tamen est, et miserandum valde super tepiditate, et negligentia nostra, quod non majori affectu trahimur ad Christum sumendum, in quo tota spes salvandorum consistit et meritum. Ipse enim est sanctificatio nostra et redemtio; ipse consolatio viatorum et Sancrotum æterna fruitio. Dolendum itaque valde, quod multi tam parum hoc salutare mysterium advertunt, quod cælum lætificat et mundum conservat universum. Heu cæcitas et duritia cordis humani, tam ineffabile donum non magis attendere, et ex quotidiano usu etiam inadvertentia defluere.	12. But greatly must we mourn and lament over our lukewarmness and negligence, that we are not drawn by greater affection to become partakers of Christ, in whom all the hope and the merit of those that are to be saved consist. For He Himself is our sanctification and redemption. He is the consolation of pilgrims and the eternal fruition of the Saints. Therefore it is grievously to be lamented that many so little consider this health-giving mystery, which maketh heaven glad and preserveth the whole world. Alas for the blindness and hardness of man’s heart, that he considereth not more this unspeakable gift, and even slippeth down through the daily use, into carelessness.
13. Si enim hoc sanctissimum Sacramentum in uno tantum celebraretur loco, et ab uno tantum consecraretur Sacerdote in mundo, quanto putas desiderio ad illum locum, et talem Dei sacerdotem homines efficerentur, ut divinia ministeria celebrari audirent? Nunc autem multi facti sunt Sacerdotes et in multis locis offertur Christus: ut tanto major appareat gratia et dilectio Dei ad hominem, quanto latius est sacra Communio diffusa per omnem orbem.	13. For if this most holy Sacrament were celebrated in one place only, and were consecrated only by one priest in the whole world, with what great desire thinkest thou, would men be affected towards that place and towards such a priest of God, that they might behold the divine mysteries celebrated? But now are many men made priests and in many places the Sacrament is celebrated, that the grace and love of God towards men might the more appear, the more widely the Holy Communion is spread abroad over all the world.
14. Gratias tibi, bone Jesu, pastor æterne, qui nos pauperes et exules dignatus est prætioso corpore et sanguine tuo reficere: et ad hæc mysteria percipienda etiam proprii oris tui eloquio invitare dicendo: Venite ad me omnes qui laboratis et onerati esti, et ego reficiam vos.	14. Thanks be unto Thee, O good Jesus, Eternal Shepherd, who hast vouchsafed to refresh us, poor and exiled ones, with Thy precious Body and Blood, and to invite us to partake these holy mysteries by the invitation from Thine own mouth, saying, Come unto Me, ye who labour and are heavy laden, and I will refresh you.
Cap. II.  Quod magna charitas et bonitas Dei in Sacramento exhibetur homini.	CHAPTER II That the greatness and charity of God is shown to men in the Sacrament The Voice of the Disciple
1. Super bonitate tua et magna misericordia tua, Domine, confisus, accedo æger ad salvatorem, esuriens ad fontem vitæ, egenus ad Regem cæli, et sitiens servus ad Dominum, creatura ad Creatorem, disolatus ad meum pium Consolatorem. Sed unde mihi hoc ut venias ad me? Quis ego sum ut præstes mihi temetipsum? Quomodo audet peccator coram te apparere? Et quomodo tu dignaris ad peccatorem venire? Tu nosti servum tuum, et scis quia nihil coni in se est unde hoc illi præstes. Confiteor igitur vilitatem meam, agnosco tuam bonitatem, laudo pietatem, et gratias ago propter nimiam charitatem. Propter temetipsum hoc facis, non propter mea merita, ut bonitas tua mihi magis innotescat, charitas amplior ingeratur, et humilitas perfectius commendetur. Quia ergo tibi hoc placet et sic, fieri jussisti, placet et mihi dignatio tua, et utinam iniquitas mea non obsistat.	1. Trusting in Thy goodness and great mercy, O Lord, I draw near, the sick to the Healer, the hungering and thirsting to the Fountain of life, the poverty-stricken to the King of heaven, the servant to the Lord, the creature to the Creator, the desolate to my own gentle Comforter. But whence is this unto me, that Thou comest unto me? Who am I that Thou shouldest offer me Thyself? How doth a sinner dare to appear before Thee? And how dost thou vouchsafe to come to the sinner? Thou knowest Thy servant, and Thou knowest that he hath in him no good thing for which Thou shouldest grant him this grace. I confess therefore mine own vileness, I acknowledge Thy goodness, I praise Thy tenderness, and I give Thee thanks for Thine exceeding great love. For Thou doest this for Thine own sake, not for my merits, that Thy goodness may be more manifest unto me, Thy charity more abundantly poured out upon me, and Thy humility more perfectly commended unto me. Therefore because this pleaseth Thee and Thou hast commanded that thus it shall be, Thy condescension pleaseth me also; and oh that mine iniquity hinder it not.
2. O, dulcissime, et benignissime Jesu, quanta tibi reverentia et gratiarum actio cum perpetua laude pro susceptione sacri Corporis tui debetur: cujus dignitatem nullus hominum explicare potens invenitur. Sed quid cogitabo in hac Communione, in accessu ad Dominum meum, quem debite venerari nequeo et tamen devote suscipere desidero?  Quid cogitabo melius et salubrius nisi me ipsum totaliter humiliando coram te et tuam infinitam bonitatem exaltando supra me? Laudo te, Deus meus, et in æternum exalto te. Despicio me et subicio tibi in profundum vilitatis meæ.	2. O most sweet and tender Jesus, what reverence, what giving of thanks is due to Thee with perpetual praise for the receiving of Thy sacred Body and Blood, the dignity whereof no man is found able to express. But what shall I think upon in this Communion in approaching my Lord, whom I am not able worthily to honour, and nevertheless whom I long devoutly to receive? What shall be better and more healthful meditation for me, than utter humiliation of myself before Thee, and exaltation of Thine infinite goodness towards me? I praise Thee, O my God, and exalt Thee for evermore. I despise myself, and cast myself down before Thee into the deep of my vileness.
3. Ecce tu Sanctus Sanctorum, et ego sordes peccatorum: et inclinas te ad me, qui non sum dignus ad te respicere. Ecce tu venis ad me, tu vis esse mecum; tu invitas ad vonvivium tuum, tu mihi daer vis cælestem cibum etpanem Angelorumad manducandum, non alium sane quam teipsum,panem vivum, qui de cælo descendistiet das vitam mundo.	3. Behold, Thou art the Saint of saints and I the refuse of sinners; behold, Thou stoopest unto me who am not worthy to look upon Thee; behold, Thou comest unto me, Thou willest to be with me, Thou invitest me to Thy feast. Thou willest to give me the heavenly food and bread of angels to eat; none other, in truth, than Thyself, The living bread, which didst descend from heaven; and givest life to the world.
4. Ecce unde dilectio procedit, qualis dignatio illucescit; quam magnæ gratiarum actiones et laudes pro his tibi debentur. O, quam salutare et utile consilium tuum, cum istud constituisti. Quam sauve et jucundum convivium, cum teipsum in cibum donasti. O, quam admirabilis operatio tua, Domine; quam potens virtus tua, quam infallibilis veritas tua. Dixisti enim et facta sunt omnia, et hoc factum es quod jussisti: mira res et fide digna ac humanum vincens intellectum, quod tu, Domine Deus meus, verus Deus et homo, sub modica panis specie et vini integer contineris et sine consumtione a sumente manducaris.	4. Behold, whence this love proceedeth! what manner of condescension shineth forth herein. What great giving of thanks and praise is due unto Thee for these benefits! Oh how salutary and profitable Thy purpose when Thou didst ordain this! How sweet and pleasant the feast when Thou didst give Thyself for food! Oh how admirable is thy working, O Lord, how mighty Thy power, how unspeakable Thy truth! For Thou didst speak the word, and all things were made; and this is done which Thou hast commanded. A thing wonderful, and worthy of faith, and surpassing all the understanding of man, that Thou, O Lord my God, very God and very man, givest Thyself altogether to us in a little bread and wine, and art so our inexhaustible food.
5. Tu, Domine universorum, qui nullius habens indigentiam voluisti per Sacramentum tuum habitare in nobis, conserva cor meum et corpus meum immaculatum, ut læta et pura conscientia sæpius valeam celebrare tua mysteria et ad meam perpetuam accipere salutem, quæ ad tuum præcipue honorem et memoriale perenne sanxisti et instituisti.	5. Thou, O Lord of all, who hast need of nothing, hast willed to dwell in us through Thy Sacrament. Preserve my heart and my body undefiled, that with a joyful and pure conscience I may be able very often to [celebrate, and] receive to my perpetual health. Thy mysteries, which Thou hast consecrated and instituted both for Thine own honour, and for a perpetual memorial.
6. Lætare, anima mea, et gratias age Deo pro tam nobili munere et solatio singulari in hac lacrymarum valle tibi relicto. Nam quoties hoc mysterium recolis, et Christi corpus accipis, toties tuæ redemtionis opus agis et particeps omnium meritorum Christi efficeris: charitas etenim Christi nunquam minuitur, et magnitudo propitiationis ejus nunquam exhauritur. Ideo nova semper mentis renovatione ad hoc disponere te debes et magnum salutis mysterium attenta consideratione pensare. Ita magnum, novum et jucundum tibi videri debet, cum celebras aut missam audis, ac si eodem die Christus primum in uterum Virginis descendens homo factus esset, aut in cruce pendens pro salute hominum pateretur, et moreretur.	6. Rejoice, O my soul, and give thanks unto God for so great a gift and precious consolation, left unto thee in this vale of tears. For so oft as thou callest this mystery to mind and receivest the body of Christ, so often dost thou celebrate the work of thy redemption, and art made partaker of all the merits of Christ. For the charity of Christ never groweth less, and the greatness of His propitiation is never exhausted. Therefore, by continual renewal of thy spirit, thou oughtest to dispose thyself hereunto and to weigh the great mystery of salvation with attentive consideration. So great, new, and joyful ought it to appear to thee when thou comest to communion, as if on this self-same day Christ for the first time were descending into the Virgin’s womb and becoming man, or hanging on the cross, suffering and dying for the salvation of mankind.
Cap. III.  Quod utile est sæpe communicare.	CHAPTER III That it is profitable to Communicate often
1. Ecce ego venio ad te, Domine, ut bene mihi sit exmunere tuo et lætificer in convivio tuo, quodparasti in dulcedine tua pauperi, Deus.Ecce in te test totum quod desiderare possum et debeo. Tu salus mea et redemtio, spes et fortitudo, decus et gloria.Lætificaergo hodieanimam famuli tui, quoniam ad te,Domine Jesu Christe,animam meam levavi.Desidero te nunc devote et reverenter suscipere, cupio te in domum meam introducere, quatenus cum Zachæo merear a te benedici ac inter filios Abrahæ computari. Anima mea et corpus meum te concupiscit, cor meum tecum uniri desiderat.	1. Behold I come unto Thee, O Lord, that I may be blessed through Thy gift, and be made joyful in Thy holy feast which Thou, O God, of Thy goodness hast prepared for the poor. Behold in Thee is all that I can and ought to desire, Thou art my salvation and redemption, my hope and strength, my honour and glory. Therefore rejoice the soul of Thy servant this day, for unto Thee, O Lord Jesus, do I lift up my soul. I long now to receive Thee devoutly and reverently, I desire to bring Thee into my house, so that with Zacchaeus I may be counted worthy to be blessed by Thee and numbered among the children of Abraham. My soul hath an earnest desire for Thy Body, my heart longeth to be united with Thee.
2. Trade te mihi, et sufficit: name præter te nulla consolatio valet, sine te esse nequeo et sine visitatione tua vivere non valeo. Ideoque oportet me frequenter ad te accedere, et in remedium salutis meæ recipere, et in remedium salutis meæ recipere, ne forte deficiam in via, si fuero cælesti fraudatus alimonia. Sic enim tu, misericordissime Jesu, prædicans populis, et varios sanans languores, aliquando dixisti:Nolo eos dimittere jejunos in domum suam, ne dificiant in via.Age igitur hoc modo mecum, qui te pro fidelium consolatione in Sacramento reliquisti. Tu es enim refectio sauvis animæ, et qui te digne manducaverit, particeps et hæes erit æternæ gloriæ.	2. Give me Thyself and it sufficeth, for besides Thee no consolation availeth. Without Thee I cannot be, and without Thy visitation I have no power to live. And therefore I must needs draw nigh unto Thee often, and receive Thee for the healing of my soul, lest haply I faint by the way if I be deprived of heavenly food. For so Thou, most merciful Jesus, preaching to the people and healing many sick, didst once say, I will not send them away fasting to their own homes, lest they faint by the way. Deal therefore now to me in like manner, for Thou left Thyself for the consolation of the faithful in the Sacrament. For Thou art the sweet refreshment of the soul, and he who shall eat Thee worthily shall be partaker and inheritor of the eternal glory. 
3. Necessarium quidem mihi est, qui tam sæpe mihi labor et pecco, tam cito torpesco et deficio, ut per frequentes orationes et confessiones, ac sacram tui Corporis perceptionem me renovem, mundem et accendam, ne forte diutius abstinendo a sancto proposito defluam.Pronienimsunt sensus hominis ad malum ab adlescentia sua,et nisi succurrat divina medicina, labitur homo plus ad pejora. Retrahit ergo sancta Communio a malo, et confortat in bono. Si enim modo tam sæpe negligens sum et tepidus, quando communico aut celebro, quid fieret si medelam non sumerem et tam grande juvamen non quærerem? Et licet omni die non aptus, et ad celebrandum bene dispositus, dabo tamen operam congruis temporibus divina percipere mysteria, ac tantæ gratiæ participem me exhibere vel præbere. Nam hæc est una principalis fidelis animæ consolatio, quamdiu peregrinatur ad te in mortali corpore, ut sit sæpius memor Dei sui, dilectum suum devota suscipiat mente.	3. Necessary indeed it is for me, who so often slide backwards and sin, so quickly wax cold and faint, to renew, cleanse, enkindle myself by frequent prayers and penitences and receiving of Thy sacred Body and Blood lest haply by too long abstinence, I fall short of my holy resolutions. For the imaginations of man’s heart are evil from his youth, and except divine medicine succour him, man slideth away continually unto the worse. The Holy Communion therefore draweth us back from evil, and strengtheneth us for good. For if I now be so negligent and lukewarm when I communicate [or celebrate], how should it be with me, if I receive not this medicine, and sought not so great a help? [And though I am not every day fit nor well prepared to celebrate, I will nevertheless give diligent heed at due season, to receive the divine mysteries, and to become partaker of so great grace]. For this is the one principal consolation of a faithful soul, so long as it is absent from Thee in mortal body, that being continually mindful of its God, it receiveth its Beloved with devout spirit.
4. O, mira circa nos tuæ pietatis dignatio: quod tu, Domine Deus, creator et vivificator omnium spirituum, ad pauperculam dignaris venire anima, et cum tota divinitate tua ac humanitate ejus impinguare esuriem. O, felix mens, et beata anima, quæ te, Dominum Deum suum, meretur devote suscipere, et in tua susceptone spirituali gaudio repleri. O, quam magnum suscipit Dominum, quam dilectum inducit hospitem, quam jucundum recipit socium quam fidelem acceptat amicum, quam speciosum, et nobilem amplectitur sponsum, præ omnibus dilectis, et super omnia desiderabilia amandum. Sileant a facie tua, dulcissime dilecte meus, cælum et terra, et omnibus ornatis eorum, quoniam quidquid habent laudis et decoris, ex dignatione tuæ est largitatis, nec ad decorem tui pervenient nominis, cujus sapientiæ non est numerus.	4. Oh wonderful condescension of Thy pity surrounding us, that Thou, O Lord God, Creator and Quickener of all spirits, deignest to come unto a soul so poor and weak, and to appease its hunger with Thy whole Deity and Humanity. Oh happy mind and blessed soul, to which is granted devoutly to receive Thee its Lord God, and in so receiving Thee to be filled with all spiritual joy! Oh how great a Lord doth it entertain, how beloved a Guest doth it bring in, how delightful a Companion doth it receive, how faithful a Friend doth it welcome, how beautiful and exalted a Spouse, above every other Beloved, doth it embrace, One to be loved above all things that can be desired! Oh my most sweet Beloved, let heaven and earth and all the glory of them, be silent in Thy presence; seeing whatsoever praise and beauty they have it is of Thy gracious bounty; and they shall never reach unto the loveliness of Thy Name, Whose Wisdom is infinite.
Cap. 4. Quod multa bona præstantur devote communicantibus.	CHAPTER IV That many good gifts are bestowed upon those who Communicate devoutly 
1. Domine Deus meus, præveni servum tuum in benedictione dulcedinis tuæ, ut ad tuum magnificum Sacramentum digne ac devote merear accedere. Excita cor meum in te, et a gravi torpore exue me. Visita me in salutari tuo ad gustandum in spiritu tuam sauvitatem, quæ in hoc Sacramento tanquam in fonte plenaire latet. Illumina quoque oculos meos ad intuendum tantum mysterium, et ad credendum illud indubitata fide me robora. Est enim operatio tua, non humana potentia: tua sacra institutio, non hominis adinventio. Non enim ad hæc capienda et intelligenda aliquis idoneus per se reperitur, quæ Angelicam etiam subtilitatem transcendunt. Quid ergo ego peccator indignus, terra et cinis, de tam alto secreto Sacramento potero investigare et capere?	1. O Lord my God, prevent Thou Thy servant with the blessings of Thy sweetness, that I may be enabled to draw near worthily and devoutly to Thy glorious Sacrament. Awaken my heart towards Thee, and deliver me from heavy slumber. Visit me with Thy salvation that I may in spirit taste Thy sweetness, which plentifully lieth hid in this Sacrament as in a fountain. Lighten also mine eyes to behold this so great mystery, and strengthen me that I may believe it with undoubting faith. For it is Thy word, not human power; it is Thy holy institution, not the invention of man. For no man is found fit in himself to receive and to understand these things, which transcend even the wisdom of the Angels. What portion then shall I, unworthy sinner, who am but dust and ashes, be able to search into and comprehend of so deep a Sacrament?
2. Domine, in simplicitate cordis, in bona et firma fide et in tua visione ad te cum firm spe et reverentia accedo, et vere credo, quia tu præsens es hic in Sacramento Deus et homo. Vis ergo ut te suscipiam et me ipsum tibi in charitate uniam. Unde tuam precor clementiam, et specialem ad hoc imploro mihi donare gratiam, ut totus in te liquefiam, et amore pereffluam, atque de nulla alia consolatione amplius me intromittam. Est enim hoc altissimum et dignissimum Sacramentum, salus animæ et corporis, medicina omnis spiritualis languoris, in quo vitia mea curantur, passiones frænantur, tentationes vincuntur ac minuuntur, gratia major infunditur, virtus accepta augetur, firmatur fides, spes roboratur, et charitas ignescit ac dilatatur.	2. O Lord, in the simplicity of my heart, in good and firm faith, and according to Thy will, I draw nigh unto Thee with hope and reverence, and truly believe that Thou art here present in the Sacrament, God and man. Thou willest therefore that I receive Thee and unite myself to Thee in charity. Wherefore I beseech Thy mercy, and implore Thee to give me Thy special grace, to this end, that I may be wholly dissolved and overflow with love towards Thee, and no more suffer any other consolation to enter into me. For this most high and most glorious Sacrament is the health of the soul and the body, the medicine of all spiritual sickness, whereby I am healed of my sins, my passions are bridled, temptations are conquered or weakened, more grace is poured into me, virtue begun is increased, faith is made firm, hope is strengthened, and charity is enkindled and enlarged.
